SessionID,Site,Year,Midpoint,Biome,Mgmt,PA_size,log_PA,Prey,Domestic,Edge_core,Eff_size
Atherstone_2016,Atherstone,2016,11/22/2016,7,0,287.3763477,5.660792673,1.277095569,0.375,3.075353188,5.190789043
Barbeton_2016,Barbeton,2016,8/3/2016,7,1,271.1253182,5.602581143,1.225708502,0.636363636,1.943807059,4.590980231
Blyde_2016,Blyde,2016,10/5/2016,7,0,304.4492923,5.718504546,0.371580547,0.225806452,1.370023396,5.462571171
Dinokeng_2016,Dinokeng,2016,7/30/2016,7,1,210.5960496,5.349941842,0.77826087,0.25,1.458207939,5.062259769
EShores_2016,EShores,2016,10/8/2016,1,0,1430.376944,7.265693286,0.744198895,0.073170732,2.927761127,7.189707379
HiP_2016,HiP,2016,4/23/2016,10,0,932.1365904,6.83747936,0.441654357,0.065217391,5.822438566,6.770038079
Ithala_2016,Ithala,2016,8/14/2016,10,0,293.7136414,5.682605284,0.834200743,0.1,2.929661256,5.577244768
KPGR_2015,KPGR,2015,11/25/2015,10,1,624.4641278,6.436893886,2.149773071,0.016129032,2.313733078,6.420633366
Lajuma_2016,Lajuma,2016,4/4/2016,10,1,336.0526965,5.817267982,0.446267867,0.425,3.671396027,5.263882744
Lapalala_2016,Lapalala,2016,11/24/2016,7,1,492.4089826,6.199309637,0.454319762,0.25,4.044393526,5.911627564
Loskop_2016,Loskop,2016,12/1/2016,7,0,252.5507518,5.531612226,0.776080084,0.029411765,2.503604447,5.501759263
Madikwe_2016,Madikwe,2016,11/25/2016,7,0,620.0722201,6.429835955,0.401294498,0.05,4.646668097,6.378542661
Makalali_2016,Makalali,2016,9/29/2016,7,1,232.528253,5.449011736,0.423788106,0.225,2.660497992,5.194119486
Mapesu_2018,Mapesu,2018,7/7/2018,7,1,602.2714276,6.40070822,0.639512508,0.285714286,3.609063031,6.064235984
Ophate_2014,Ophate,2014,9/21/2014,10,0,299.384,5.70172703,1.035502959,0.861111111,1.684,3.727646004
Phinda_2016,Munyawana,2016,7/22/2016,1,1,1430.376944,7.265693286,1.120734908,0.047619048,2.927761127,7.216903122
Pilanesberg_2016,Pilanesberg,2016,4/4/2016,7,0,588.757589,6.378014535,0.325112108,0.125,4.224103616,6.244483143
Somkhanda_2016,Somkhanda,2016,2/19/2016,10,1,624.4641278,6.436893886,1.401284109,0.275862069,2.313733078,6.114120494
Songimvelo_2016,Songimvelo,2016,3/30/2016,10,0,420.3977619,6.041201315,0.955690704,0.703703704,3.608260807,4.824805991
Tembe_2016,Tembe,2016,5/25/2016,1,0,298.7378617,5.699566472,1.064470918,0,3.821480795,5.699566472
Timbavati_2016,Timbavati,2016,9/26/2016,7,1,21416.38725,9.971911667,0.493801653,0.075,18.84866432,9.893950126
uMkhuze_2016,uMkhuze,2016,6/18/2016,10,0,1430.376944,7.265693286,0.756165919,0.1,2.927761127,7.16033277
Venetia_2016,Venetia,2016,7/27/2016,7,1,602.2714276,6.40070822,0.366597725,0,3.609063031,6.40070822
Welgevonden_2016,Welgevonden,2016,4/29/2016,7,1,1000.149791,6.907905059,0.328173375,0,3.005948929,6.907905059
Wonderkop_2015,Wonderkop,2015,2/21/2015,7,0,158.3402444,5.064746163,0.3724267,0.405405405,1.753146404,4.544870704
Zingela_2016,Zingela,2016,5/25/2016,7,1,220.1403504,5.394265299,1.523310023,0.075,2.92611556,5.316303758
ZRR_2015,Manyoni,2015,8/20/2015,10,1,224.5295392,5.414007276,1.58337981,0.125,2.731978204,5.280475884
