# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
Atherstone_2016 Leopard_African_Female_16_200 1 Atherstone_2016_Station12 1
Atherstone_2016 Leopard_African_Female_16_200 1 Atherstone_2016_Station2 1
Atherstone_2016 Leopard_African_Female_16_280 1 Atherstone_2016_Station29 1
Atherstone_2016 Leopard_African_Female_16_280 1 Atherstone_2016_Station39 1
Atherstone_2016 Leopard_African_Female_16_284 1 Atherstone_2016_Station34 1
Atherstone_2016 Leopard_African_Female_16_43 1 Atherstone_2016_Station38 1
Atherstone_2016 Leopard_African_Female_16_500 1 Atherstone_2016_Station13 1
Atherstone_2016 Leopard_African_Female_16_503 1 Atherstone_2016_Station22 1
Atherstone_2016 Leopard_African_Female_16_503 1 Atherstone_2016_Station27 1
Atherstone_2016 Leopard_African_Female_16_505 1 Atherstone_2016_Station26 1
Atherstone_2016 Leopard_African_Female_16_506 1 Atherstone_2016_Station31 1
Atherstone_2016 Leopard_African_Female_16_507 1 Atherstone_2016_Station37 1
Atherstone_2016 Leopard_African_Female_16_55 1 Atherstone_2016_Station28 1
Atherstone_2016 Leopard_African_Female_16_55 1 Atherstone_2016_Station30 1
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station18 2
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station18 2
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station19 2
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station19 2
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station22 2
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station28 2
Atherstone_2016 Leopard_African_Male_16_199 1 Atherstone_2016_Station9 2
Atherstone_2016 Leopard_African_Male_16_201 1 Atherstone_2016_Station39 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station1 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station11 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station11 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station16 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station25 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station38 2
Atherstone_2016 Leopard_African_Male_16_271 1 Atherstone_2016_Station40 2
Atherstone_2016 Leopard_African_Male_16_504 1 Atherstone_2016_Station24 2
Atherstone_2016 Leopard_African_Unknown_16_501 1 Atherstone_2016_Station19 NA
Atherstone_2016 Leopard_African_Unknown_16_502 1 Atherstone_2016_Station20 NA
Barbeton_2016 9999 1 Barbeton_2016_Station1 NA
Blyde_2016 Leopard_African_Female_23_4 1 Blyde_2016_Station3 1
Blyde_2016 Leopard_African_Female_23_7 1 Blyde_2016_Station6 1
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station15 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station15 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station15 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station15 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station15 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station4 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station4 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station5 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station5 2
Blyde_2016 Leopard_African_Male_23_1 1 Blyde_2016_Station5 2
Blyde_2016 Leopard_African_Male_23_3 1 Blyde_2016_Station11 2
Blyde_2016 Leopard_African_Male_23_3 1 Blyde_2016_Station11 2
Blyde_2016 Leopard_African_Male_23_3 1 Blyde_2016_Station5 2
Blyde_2016 Leopard_African_Male_23_3 1 Blyde_2016_Station5 2
Blyde_2016 Leopard_African_Male_23_3 1 Blyde_2016_Station6 2
Blyde_2016 Leopard_African_Male_23_3 1 Blyde_2016_Station8 2
Blyde_2016 Leopard_African_Male_23_5 1 Blyde_2016_Station3 2
Blyde_2016 Leopard_African_Unknown_23_6 1 Blyde_2016_Station15 NA
Dinokeng_2016 9999 1 Dinokeng_2016_Station1 NA
EShores_2016 Leopard_African_Female_5_1 1 EShores_2016_Station1 1
EShores_2016 Leopard_African_Female_5_10 1 EShores_2016_Station6 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station11 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station11 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_18 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_19 1 EShores_2016_Station11 1
EShores_2016 Leopard_African_Female_5_19 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_19 1 EShores_2016_Station8 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station2 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station2 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station4 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station7 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station7 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station9 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station9 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station9 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station9 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station9 1
EShores_2016 Leopard_African_Female_5_2 1 EShores_2016_Station9 1
